eq,obj,orig_eq,orig_chi
O2(4) + C5H7O(44)z = S(438)z,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  1-2: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: false}
  3-10: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [4, 5, 3, 6, 2, 7, 0, 1, 11, 12, 13, 10, 14, 8, 9]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(44) = S(438),"AMChI=1/C5H7O3/c6-4-5-3-2-1-8-7/h2-4H,1,5H2/k8-1/r1"
O2(4) + C5H7O(44)e = S(438)e,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  1-2: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: true}
  3-10: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [4, 5, 3, 6, 2, 7, 0, 1, 11, 12, 13, 10, 14, 8, 9]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(44) = S(438),"AMChI=1/C5H7O3/c6-4-5-3-2-1-8-7/h2-4H,1,5H2/k8-1/r1"
O2(4) + C5H7O(44)z = S(439)r0,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: false}
  3-10: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [2, 3, 5, 6, 4, 7, 0, 1, 8, 9, 10, 12, 13, 14, 11]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(44) = S(439),"AMChI=1/C5H7O3/c1-2-4(8-7)5-3-6/h2-4H,1,5H2/k8-4/r1"
O2(4) + C5H7O(44)e = S(439)r0,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: true}
  3-10: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [2, 3, 5, 6, 4, 7, 0, 1, 8, 9, 10, 12, 13, 14, 11]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(44) = S(439),"AMChI=1/C5H7O3/c1-2-4(8-7)5-3-6/h2-4H,1,5H2/k8-4/r1"
O2(4) + C5H7O(44)z = S(439)r1,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: false}
  3-10: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [2, 3, 5, 6, 4, 7, 0, 1, 8, 9, 10, 12, 13, 14, 11]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(44) = S(439),"AMChI=1/C5H7O3/c1-2-4(8-7)5-3-6/h2-4H,1,5H2/k8-4/r1"
O2(4) + C5H7O(44)e = S(439)r1,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: true}
  3-10: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [2, 3, 5, 6, 4, 7, 0, 1, 8, 9, 10, 12, 13, 14, 11]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(44) = S(439),"AMChI=1/C5H7O3/c1-2-4(8-7)5-3-6/h2-4H,1,5H2/k8-4/r1"
O2(4) + C5H7O(45) = S(237),"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-6: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  3-9: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-10: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  7-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [2, 3, 4, 5, 6, 7, 1, 0, 8, 9, 10, 11, 12, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(45) = S(237),"AMChI=1/C5H7O3/c6-7-5(8)3-1-2-4-5/h1-2,8H,3-4H2/k7-5/r1"
O2(4) + C5H7O(46)r0 = S(636)r1,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  1-3: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-9: {order: 1, stereo_parity: null}
  4-10: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-11: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-13: {order: 1, stereo_parity: null}
  7-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [4, 2, 5, 6, 3, 7, 0, 1, 9, 10, 8, 11, 12, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(46) = S(636),"AMChI=1/C5H7O3/c6-7-1-2-4-5(8)3-1/h2,5,8H,3-4H2/k7-1/r1"
O2(4) + C5H7O(46)r1 = S(636)r0,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  1-3: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-4: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  3-5: {order: 1, stereo_parity: null}
  4-6: {order: 1, stereo_parity: null}
  4-9: {order: 1, stereo_parity: null}
  4-10: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-11: {order: 1, stereo_parity: null}
  5-12: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-13: {order: 1, stereo_parity: null}
  7-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [4, 2, 5, 6, 3, 7, 0, 1, 9, 10, 8, 11, 12, 13, 14]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(46) = S(636),"AMChI=1/C5H7O3/c6-7-1-2-4-5(8)3-1/h2,5,8H,3-4H2/k7-1/r1"
O2(4) + C5H7O(49)z = S(427)r0,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-5: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-10: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  4-12: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: false}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [2, 3, 4, 6, 5, 7, 1, 0, 8, 9, 10, 11, 12, 14, 13]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(49) = S(427),"AMChI=1/C5H7O3/c1-2-5-4(3-6)8-7/h2-4H,1,5H2/k8-4/r1"
O2(4) + C5H7O(49)e = S(427)r0,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-5: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-10: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  4-12: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: true}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [2, 3, 4, 6, 5, 7, 1, 0, 8, 9, 10, 11, 12, 14, 13]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(49) = S(427),"AMChI=1/C5H7O3/c1-2-5-4(3-6)8-7/h2-4H,1,5H2/k8-4/r1"
O2(4) + C5H7O(49)z = S(427)r1,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-5: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-10: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  4-12: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: false}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [2, 3, 4, 6, 5, 7, 1, 0, 8, 9, 10, 11, 12, 14, 13]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(49) = S(427),"AMChI=1/C5H7O3/c1-2-5-4(3-6)8-7/h2-4H,1,5H2/k8-4/r1"
O2(4) + C5H7O(49)e = S(427)r1,"atoms:
  0: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: true}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  13: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  14: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-5: {order: 0.1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 1, stereo_parity: null}
  3-10: {order: 1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-11: {order: 1, stereo_parity: null}
  4-12: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: true}
  5-13: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-14: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1]
- [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
products keys:
- [2, 3, 4, 6, 5, 7, 1, 0, 8, 9, 10, 11, 12, 14, 13]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",O2(4) + C5H7O(49) = S(427),"AMChI=1/C5H7O3/c1-2-5-4(3-6)8-7/h2-4H,1,5H2/k8-4/r1"
