name,mult,charge,chi,smi
S(343),1,0,"InChI=1S/C5H8O2/c6-4-2-1-3-5-7/h4-5H,1-3H2",O=CCCCC=O
C5H7O(210),2,0,"InChI=1S/C5H7O/c1-3-5(6)4-2/h1,3-6H,2H2",OC(C=C)C=[CH]
S(288),2,0,"InChI=1S/C3H3O2/c1-2-4-5-3-1/h2H,3H2",O1OC=[C]C1
S(820),2,0,"InChI=1S/C5H7O2/c1-3-5(6)7-4-2/h2-3H2,1H3",O=C(O[C]=C)CC
S(819),2,0,"InChI=1S/C5H7O2/c1-3-5(6)7-4-2/h3-4H,2H2,1H3",[O]C(=CC)OC=C
S(1418),2,0,"InChI=1S/C5H7O2/c1-3-4(2)7-5(3)6/h3-4H,2H2,1H3",O=C1C(C(O1)[CH2])C
S(1288),1,0,"InChI=1S/C3H4O/c1-2-3-4/h2H,1H3",O=C=CC
S(260),2,0,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",[O]OCC
C5H7O(94),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h1,3,5H,2,4H2",[O]C1C=CCC1
C5H6O(958),1,0,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3-4,6H,2H2",OC1=CCC=C1
S(1463),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h3-5H,1-2H2",O=CC=CC[CH2]
S(1470),2,0,"InChI=1S/C5H7O/c6-4-3-5-1-2-5/h3-5H,1-2H2",O=C[CH]C1CC1
C3H3O(471),2,0,"InChI=1S/C3H3O/c1-3-2-4-3/h2H,1H2",C=C1[CH]O1
S(277),2,0,"InChI=1S/C3H5O2/c4-2-1-3-5/h2,4-5H,3H2",OC[C]=CO
C5H7O(376),2,0,"InChI=1S/C5H7O/c1-3-5(6)4-2/h3H,1-2,4H2",O=C(C=C)C[CH2]
S(421),2,0,"InChI=1S/C5H7O2/c1-3-2-4(6)5(3)7/h3-4,6H,1-2H2",OC1CC([CH2])C1=O
S(315),2,0,"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h2,4,6H,1,3H2",O[CH]C(CC=C)=O
S(1557),1,0,"InChI=1S/C5H8O2/c1-2-3-5(7)4-6/h2,6H,1,3-4H2",OCC(=O)CC=C
S(185),1,0,"InChI=1S/C5H6O2/c6-4-2-1-3-5(4)7/h2,6H,1,3H2",OC=1C(=O)CCC=1
C4H6O(491),1,0,"InChI=1S/C4H6O/c1-2-3-4-5/h2-5H,1H2",OC=CC=C
S(335),2,0,"InChI=1S/C5H7O2/c1-3-5(7)4(2)6/h3-4,6H,1-2H2",OC(C(C=C)=O)[CH2]
C3H5O(275),2,0,"InChI=1S/C3H5O/c1-2-3-4/h3-4H,1H3",OC=[C]C
S(1311),1,0,"InChI=1S/C3H6O/c1-2-3-4/h2-4H,1H3",OC=CC
C4H7(1166),2,0,"InChI=1S/C4H7/c1-3-4-2/h1,3H,4H2,2H3",CCC=[CH]
S(351),2,0,"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h2,5-6H,1,3H2",O[C]=CCCC=O
C3H5O(274),2,0,"InChI=1S/C3H5O/c1-2-3-4/h4H,1,3H2",OC[C]=C
S(696),2,0,"InChI=1S/C5H7O2/c1-3-4-5(2)7-6/h4-5H,1H2,2H3",[O]OC(C)C=C=C
S(695),2,0,"InChI=1S/C5H7O2/c1-3-4-5(2)7-6/h3-4H,2H2,1H3",[O]OC(C=CC)=C
S(1648),2,0,"InChI=1S/C5H7O2/c1-3-4-5(2)6-7-5/h3-4H,2H2,1H3",CC=CC1(OO1)[CH2]
S(1643),2,0,"InChI=1S/C5H7O2/c1-4-3-5(2)7-6-4/h3,5H,1H2,2H3",CC1[CH]C(OO1)=C
S(1658),2,0,"InChI=1S/C5H7O2/c1-3-4-2-5(4)7-6-3/h3-4H,2H2,1H3",CC1C2[C](OO1)C2
S(354),2,0,"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h2-6H,1H2",OC=CC[CH]C=O
S(1684),2,0,"InChI=1S/C5H7O2/c6-2-4-1-5(4)3-7/h2-6H,1H2",O[CH]C1C(C1)C=O
S(329),2,0,"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h2,5,7H,1,3H2",O[CH]CCC=C=O
S(1697),2,0,"InChI=1S/C5H7O2/c6-3-4-1-2-5(4)7/h4-5,7H,1-2H2",OC1C(CC1)[C]=O
S(1260),2,0,"InChI=1S/C3H3O2/c4-2-1-3-5/h1-2,4H",OC=C[C]=O
S(1717),1,0,"InChI=1S/C5H8O2/c1-2-5(7)3-4-6/h3,5,7H,2H2,1H3",OC(CC)C=C=O
S(1716),1,0,"InChI=1S/C3H4O2/c4-2-1-3-5/h1,4H,2H2",OCC=C=O
OCCO(840),1,0,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",OCCO
S(1160),2,0,"InChI=1S/C5H7O2/c1-2-3-4-5(6)7/h1-2H,3-4H2,(H,6,7)",OC(CCC=[CH])=O
