name,mult,charge,chi,orig_name,orig_chi,orig_smi
C5H7(387)r1,2,0,"AMChI=1/C5H7/c1-4-3-5(2)4/h5H,1-3H2/t5-/m1/s1",C5H7(387),"InChI=1S/C5H7/c1-4-3-5(4)2/h4H,1-3H2",[CH2]C1CC1=C
C5H7(64),2,0,"AMChI=1/C5H7/c1-3-5-4-2/h4H,1-2,5H2",C5H7(64),"InChI=1S/C5H7/c1-3-5-4-2/h3H,1-2,5H2",C=CC[C]=C
C5H6O(325),1,0,"AMChI=1/C5H6O/c1-2-3-5-4-6/h3-4H,1,5H2",C5H6O(325),"InChI=1S/C5H6O/c1-2-3-4-5-6/h3,5H,1,4H2",O=CCC=C=C
C#CCO(255),1,0,"AMChI=1/C3H4O/c1-2-3-4/h1,4H,3H2",C#CCO(255),"InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2",OCC#C
C5H7O2(27)rs0,2,0,"AMChI=1/C5H7O2/c1-2-5-3-4(1)6-7-5/h1,4-5H,2-3H2/t4-,5+/m0/s1",C5H7O2(27),"InChI=1S/C5H7O2/c1-2-5-3-4(1)6-7-5/h1,4-5H,2-3H2",O1OC2CC1C[CH]2
C5H7O2(27)rs1,2,0,"AMChI=1/C5H7O2/c1-2-5-3-4(1)6-7-5/h1,4-5H,2-3H2/t4-,5+/m1/s1",C5H7O2(27),"InChI=1S/C5H7O2/c1-2-5-3-4(1)6-7-5/h1,4-5H,2-3H2",O1OC2CC1C[CH]2
S(190)r0,1,0,"AMChI=1/C5H8O2/c6-4-2-1-3-5(4)7/h5,7H,1-3H2/t5-/m0/s1",S(190),"InChI=1S/C5H8O2/c6-4-2-1-3-5(4)7/h4,6H,1-3H2",OC1CCCC1=O
S(190)r1,1,0,"AMChI=1/C5H8O2/c6-4-2-1-3-5(4)7/h5,7H,1-3H2/t5-/m1/s1",S(190),"InChI=1S/C5H8O2/c6-4-2-1-3-5(4)7/h4,6H,1-3H2",OC1CCCC1=O
S(408),2,0,"AMChI=1/C5H7O2/c1-3-4-5(7)2-6/h7H,1,3-4H2",S(408),"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h7H,1-3H2",OC(CC[CH2])=C=O
C3H3O(262),2,0,"AMChI=1/C3H3O/c1-2-3-4/h3H,1H2",C3H3O(262),"InChI=1S/C3H3O/c1-2-3-4/h3H,1H2",[O]C=C=C
S(353)zz,2,0,"AMChI=1/C5H7O2/c6-4-5-2-1-3-7/h1-4,7H,5H2/b2-1-,3-1-",S(353),"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h1-2,4-6H,3H2",O[CH]C=CCC=O
S(353)ze,2,0,"AMChI=1/C5H7O2/c6-4-5-2-1-3-7/h1-4,7H,5H2/b2-1-,3-1+",S(353),"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h1-2,4-6H,3H2",O[CH]C=CCC=O
S(353)ez,2,0,"AMChI=1/C5H7O2/c6-4-5-2-1-3-7/h1-4,7H,5H2/b2-1+,3-1-",S(353),"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h1-2,4-6H,3H2",O[CH]C=CCC=O
S(353)ee,2,0,"AMChI=1/C5H7O2/c6-4-5-2-1-3-7/h1-4,7H,5H2/b2-1+,3-1+",S(353),"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h1-2,4-6H,3H2",O[CH]C=CCC=O
C5H7(433),2,0,"AMChI=1/C5H7/c1-4-5(2)3/h4H,1-3H2",C5H7(433),"InChI=1S/C5H7/c1-4-5(2)3/h4H,1-3H2",[CH2]C(=C)C=C
C5H8O(499),1,0,"AMChI=1/C5H8O/c1-3-5(2)4-6/h3,6H,1-2,4H2",C5H8O(499),"InChI=1S/C5H8O/c1-3-5(2)4-6/h3,6H,1-2,4H2",OCC(C=C)=C
C5H8(498),1,0,"AMChI=1/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",C5H8(498),"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",CC(=C)C=C
S(497),2,0,"AMChI=1/C5H7O2/c1-3-5(2)4-7-6/h3H,1-2,4H2",S(497),"InChI=1S/C5H7O2/c1-3-5(2)4-7-6/h3H,1-2,4H2",[O]OCC(=C)C=C
C5H7(493),2,0,"AMChI=1/C5H7/c1-2-5-3-4-5/h2H,1,3-4H2",C5H7(493),"InChI=1S/C5H7/c1-2-5-3-4-5/h2H,1,3-4H2",[CH2]C=C1CC1
S(336)r0,1,0,"AMChI=1/C5H8O2/c6-4-1-2-3-5(4)7/h1,5-7H,2-3H2/t5-/m0/s1",S(336),"InChI=1S/C5H8O2/c6-4-2-1-3-5(4)7/h2,5-7H,1,3H2",OC1CCC=C1O
S(336)r1,1,0,"AMChI=1/C5H8O2/c6-4-1-2-3-5(4)7/h1,5-7H,2-3H2/t5-/m1/s1",S(336),"InChI=1S/C5H8O2/c6-4-2-1-3-5(4)7/h2,5-7H,1,3H2",OC1CCC=C1O
