eq,rate
C5H7O(20) = C5H7O(16),"SimpleRate(k=ArrheniusFunction(A=27240000000.0, b=0.478, E=39.78, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(50) = S(458),"SimpleRate(k=ArrheniusFunction(A=7264440.0, b=1.598, E=0.042, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(50) = S(457),"SimpleRate(k=ArrheniusFunction(A=121694800000000.0, b=-0.429, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(25) = S(114),"SimpleRate(k=ArrheniusFunction(A=7574160000000.0, b=-0.129, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(114) = HO2(77) + C5H6O(24),"SimpleRate(k=ArrheniusFunction(A=80040560000.0, b=0.563, E=29.8, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O3(43) = S(134),"SimpleRate(k=ArrheniusFunction(A=12044.42, b=1.9, E=11.75, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(42) = C5H7O(15),"SimpleRate(k=ArrheniusFunction(A=74200.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(41) = C5H7O(42),"SimpleRate(k=ArrheniusFunction(A=83200000000.0, b=0.77, E=64.1, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(42) = C5H8O(94),"SimpleRate(k=ArrheniusFunction(A=8.15666e+18, b=-1.493, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7O(20) = S(492),"SimpleRate(k=ArrheniusFunction(A=2962760000000.0, b=-0.119, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(20) = C5H7O(489),"SimpleRate(k=ArrheniusFunction(A=24319.0, b=2.043, E=14.837, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(1) = C5H8O(91),"SimpleRate(k=ArrheniusFunction(A=1953380000000.0, b=0.347, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(2) = C5H8O(91),"SimpleRate(k=ArrheniusFunction(A=1953380000000.0, b=0.347, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
